Qty,Value,Device,Package,Parts,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PACKAGE2,SF_ID,SUPPLIER
1,,CMS3000_15A,CMS3015,U3,CMS3005,,,,,,,
1,,CONN_02POLAR,MOLEX-1X2,J1,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,TMK212AB7475KG-T,,,,PRT-09918,
1,,R-EU_R0805,R0805,R13,RESISTOR,,,,,,,
1,0,R-EU_R0805,R0805,R22,RESISTOR,,,,,,,
1,0.5AT,FUSE_PTC-0805,PTC0805,F1,Resettable PTC,,,,,,,
1,1.8M,R-EU_R0805,R0805,R15,RESISTOR,,,,,,,
1,100,R-EU_R0805I,R0805I,R2,RESISTOR,,,,,,,
1,100k,POT_MULTI,3386-MULTI,R14,3/8 multi pot,,3386P-1-104LF,,,,,
1,100k,R-EU_R0805,R0805,R21,RESISTOR,,,,,,,
1,10nF 16V X7R,C-EUC0805,C0805,C8,CAPACITOR,,,,,,,
1,15 / 33,R-EU_R0805,R0805,R12,RESISTOR,,,,,,,
1,1K,R-EU_R0805,R0805,R16,RESISTOR,,,,,,,
1,1k,R-EU_R0805I,R0805I,R1,RESISTOR,,,,,,,
1,1uF 25V X5R,C-EUC0805,C0805,C1,CAPACITOR,,,,,,,
1,220nF,C-EUC0805,C0805,C10,CAPACITOR,,,,,,,
1,3.3nF / 2.2nF,C-EUC0805,C0805,C26,CAPACITOR,,,,,,,
1,4.7nF 50V C0G,C-EUC0805,C0805,C9,CAPACITOR,,,,,,,
1,Green,LED3MM,LED3MM,LED1,LED,,,,,,,
1,NCP361MUTBG,NCP36XMU,UDFN6_2X2,U1,,,TMK212AB7475KG-T,,,,,
1,PCB_HAMMOND_1591XXL,PCB_HAMMOND_1591XXL,HMD_MFG_1591XXL,H1,Multiple PCB formats from Hammond MFG cases,,,,,,,
1,PMV45EN,PMV45EN,SOT23,Q1,PMV45EN Logic Level Trenchmos,,,,,,,
1,R141426,R141426,R141426,X1,BNC COAX CONNECTOR,FARNELL,R141426161,4195115,14J7919,,,
1,SMAJ12CA,TVS_BISMA,SMA_NOPOL,D1,Collection of bidirectional TVS diodes,,,,,,,
1,TL074D,TL074D,SO14,IC1,OP AMP,,,,,,,
1,TPS65131RGET,TPS65131RGET,QFN50P400X400X100-25N,U2,POSITIVE AND NEGATIVE OUTPUT DC-DC CONVERTER,,TPS65131RGET,1755480,44J2536,VQFN-24,,Texas Instruments
2,,R-EU_R0805I,R0805I,R18,,,,,,,,
2,1000k,R-EU_R0805I,R0805I,R4,,,,,,,,
2,100k,R-EU_R0805I,R0805I,R3,,,,,,,,
2,47uF (EEEFK1V470P),CPOL-EUD,PANASONIC_D,C23,,,,,,,,
2,BANANA_SOCKETVERTICAL,BANANA_SOCKETVERTICAL,4,,,,,,,,,
2,Green,LEDCHIP-LED0805,CHIP-LED0805,LED2,,,,,,,,
2,Schottky 1A 20V,DIODE-SOD323-R,SOD323-R,D2,,,,,,,,
2,TESTPOINT_GND,TESTPOINT_GND,PROBE_POINT,TP7,,,,,,,,
3,,TESTPOINT,TESTHOOK,TP1,,,,,,,,
3,3.9k,R-EU_R0805I,R0805I,R7,,,,,,,,
4,10k,R-EU_R0805I,R0805I,R10,,,,,,,,
4,3.3uH (SRN3015),INDUCTOR_VLS3015,VLS3015,L1,,,,,,,,
5,,C-EUC0805,C0805,C11,,,,,,,,
6,100nF,C-EUC0805,C0805,C2,,,,,,,,
13,4.7uF 25V X5R,C-EUC0805,C0805,C4,,,,,,,,
